episode_return,episode_length,loss,epsilon,avg_q
10.000000,10,5.051648,0.370938,-1.323972
10.000000,10,6.869764,0.367346,-1.199065
10.000000,10,3.493896,0.363791,-1.072389
10.000000,10,0.678750,0.360270,-0.953435
10.000000,10,4.672911,0.356785,-0.849462
10.000000,10,0.433072,0.353334,-0.740372
10.000000,10,0.428280,0.349918,-0.656269
10.000000,10,0.498708,0.346536,-0.588456
10.000000,10,0.813803,0.343187,-0.546493
10.000000,10,1.014369,0.339872,-0.498315
10.000000,10,3.621678,0.336590,-0.426476
10.000000,10,1.430836,0.333340,-0.336208
10.000000,10,0.814162,0.330123,-0.241323
10.000000,10,1.168278,0.326938,-0.154921
10.000000,10,3.710621,0.323784,-0.074518
10.000000,10,3.769485,0.320662,0.019492
10.000000,10,3.126170,0.317571,0.098044
10.000000,10,2.754892,0.314510,0.182046
10.000000,10,3.226544,0.311480,0.271125
10.000000,10,1.192084,0.308481,0.302242
10.000000,10,3.157178,0.305511,0.370929
10.000000,10,1.511949,0.302570,0.473055
10.000000,10,1.191352,0.299659,0.558380
10.000000,10,2.029309,0.296777,0.600095
10.000000,10,1.541386,0.293924,0.658974
10.000000,10,1.173373,0.291098,0.771526
10.000000,10,2.474754,0.288301,0.851250
10.000000,10,2.402626,0.285532,0.920005
10.000000,10,1.040872,0.282791,0.983147
10.000000,10,5.390485,0.280076,1.024891
10.000000,10,2.844271,0.277389,1.093369
10.000000,10,3.004035,0.274729,1.184368
10.000000,10,3.216786,0.272094,1.269145
10.000000,10,7.711541,0.269487,1.337789
10.000000,10,4.874745,0.266905,1.378510
10.000000,10,1.228369,0.264348,1.439831
10.000000,10,3.647072,0.261818,1.508671
10.000000,10,1.488657,0.259312,1.576499
10.000000,10,7.955673,0.256831,1.639882
10.000000,10,4.625589,0.254375,1.713710
10.000000,10,2.017195,0.251944,1.777387
10.000000,10,3.093382,0.249536,1.870699
10.000000,10,2.757987,0.247153,1.938421
10.000000,10,3.908365,0.244793,2.010253
10.000000,10,4.030960,0.242457,2.107666
10.000000,10,6.946445,0.240144,2.159981
10.000000,10,5.115067,0.237854,2.230790
10.000000,10,6.217677,0.235587,2.288532
10.000000,10,3.228297,0.233342,2.337737
10.000000,10,4.534110,0.231120,2.370011
10.000000,10,4.669247,0.228920,2.394781
10.000000,10,4.885805,0.226741,2.463118
10.000000,10,5.135823,0.224585,2.559996
10.000000,10,2.000968,0.222450,2.608249
10.000000,10,2.956141,0.220336,2.614237
10.000000,10,4.457853,0.218243,2.644503
10.000000,10,3.973451,0.216171,2.719693
10.000000,10,4.045501,0.214119,2.772907
10.000000,10,4.260339,0.212088,2.807694
10.000000,10,6.334618,0.210078,2.845068
10.000000,10,1.616518,0.208087,2.860033
10.000000,10,3.068456,0.206116,2.927186
10.000000,10,2.351017,0.204164,3.022367
10.000000,10,1.837473,0.202232,3.121671
10.000000,10,1.709648,0.200320,3.187469
10.000000,10,2.536231,0.198426,3.176838
10.000000,10,1.196679,0.196551,3.202757
10.000000,10,5.933943,0.194695,3.265995
10.000000,10,2.950801,0.192857,3.315814
10.000000,10,2.110253,0.191038,3.341247
10.000000,10,5.416174,0.189236,3.374427
10.000000,10,5.172091,0.187453,3.445715
10.000000,10,4.066215,0.185687,3.531086
10.000000,10,1.903437,0.183939,3.534924
10.000000,10,5.705697,0.182208,3.596737
10.000000,10,1.617973,0.180495,3.611407
10.000000,10,1.796684,0.178798,3.636062
10.000000,10,6.866531,0.177119,3.699016
10.000000,10,5.223386,0.175456,3.715948
10.000000,10,1.534934,0.173810,3.710134
10.000000,10,2.563675,0.172180,3.690413
10.000000,10,2.390046,0.170566,3.726503
10.000000,10,2.165916,0.168968,3.784414
10.000000,10,2.975882,0.167387,3.827664
10.000000,10,4.773028,0.165821,3.803277
10.000000,10,3.541576,0.164270,3.795232
10.000000,10,6.486202,0.162735,3.831311
10.000000,10,7.555689,0.161215,3.885585
10.000000,10,4.964998,0.159711,3.928194
10.000000,10,1.116510,0.158221,3.993998
10.000000,10,1.611053,0.156746,4.093644
10.000000,10,5.649512,0.155286,4.166210
10.000000,10,3.311642,0.153840,4.238510
10.000000,10,9.765635,0.152409,4.329830
10.000000,10,5.351049,0.150992,4.384336
10.000000,10,5.068646,0.149589,4.406870
10.000000,10,2.614062,0.148200,4.398112
10.000000,10,2.216503,0.146825,4.454437
10.000000,10,5.236731,0.145464,4.521253
10.000000,10,1.601132,0.144116,4.520688
10.000000,10,6.104415,0.142782,4.530342
10.000000,10,6.150206,0.141460,4.568470
10.000000,10,1.806566,0.140152,4.580121
10.000000,10,2.550144,0.138857,4.608121
10.000000,10,1.596627,0.137575,4.662812
10.000000,10,6.173578,0.136306,4.732853
10.000000,10,1.822746,0.135049,4.766488
10.000000,10,6.220622,0.133805,4.768647
10.000000,10,0.962234,0.132573,4.744914
10.000000,10,1.652451,0.131353,4.761834
10.000000,10,5.350174,0.130146,4.814956
10.000000,10,1.261511,0.128950,4.905059
10.000000,10,3.199575,0.127767,5.023363
10.000000,10,1.539214,0.126595,5.114401
10.000000,10,2.747933,0.125435,5.152919
10.000000,10,7.301759,0.124286,5.233117
10.000000,10,1.792483,0.123149,5.298134
10.000000,10,7.465328,0.122023,5.345632
10.000000,10,1.802649,0.120908,5.368075
10.000000,10,10.149480,0.119805,5.369359
10.000000,10,2.737444,0.118712,5.336557
10.000000,10,3.379680,0.117631,5.356509
10.000000,10,8.003310,0.116560,5.436073
10.000000,10,2.317399,0.115499,5.390371
