transaction_id,customer_id,region,category,channel,amount,quantity,discount,promo,event_date
1,1558,EMEA,fashion,retail,94.28,7,0.114,none,2024-11-22
2,1914,EMEA,toys,retail,82.19,1,0.053,none,2024-12-13
3,2222,LATAM,grocery,retail,46.28,5,0.167,coupon,2024-07-14
4,2453,AMER,fashion,retail,55.96,5,0.103,none,2024-09-26
5,1412,AMER,toys,online,76.99,3,0.128,coupon,2024-02-16
6,1788,AMER,home,online,48.41,7,0.185,none,2024-06-04
7,2265,APAC,toys,retail,42.10,8,0.094,bundle,2024-09-23
8,1166,AMER,grocery,retail,48.15,8,0.046,coupon,2024-06-17
9,1792,AMER,grocery,retail,87.07,3,0.077,none,2024-11-26
10,2085,AMER,fashion,mobile,20.17,6,0.222,coupon,2024-11-25
11,1606,AMER,fashion,retail,40.98,1,0.189,none,2024-08-16
12,2192,APAC,grocery,online,68.00,2,0.106,loyalty,2024-09-08
13,2027,EMEA,home,retail,108.92,7,0.189,none,2024-09-04
14,1142,EMEA,home,online,63.73,1,0.247,none,2024-12-08
15,2299,EMEA,home,retail,58.84,6,0.071,none,2024-09-13
16,1428,APAC,grocery,online,61.35,4,0.226,coupon,2024-07-02
17,1159,LATAM,sports,retail,106.86,5,0.207,loyalty,2024-10-08
18,2477,APAC,toys,online,96.04,8,0.045,bundle,2024-09-21
19,1111,APAC,electronics,online,89.01,4,0.209,none,2024-02-23
20,1320,EMEA,toys,online,105.26,8,0.083,none,2024-03-04
21,1584,EMEA,home,online,71.41,5,0.128,none,2024-09-07
22,1766,AMER,grocery,online,84.19,5,0.063,none,2024-02-10
23,1537,LATAM,grocery,retail,61.67,1,0.240,none,2024-11-18
24,1875,EMEA,grocery,mobile,34.26,5,0.110,none,2024-12-04
25,1972,LATAM,toys,mobile,47.49,1,0.228,coupon,2024-03-22
26,1648,APAC,fashion,retail,115.31,7,0.172,bundle,2024-12-18
27,1154,LATAM,grocery,online,34.54,6,0.247,none,2024-06-18
28,1637,APAC,electronics,mobile,62.69,3,0.152,coupon,2024-11-01
29,1668,AMER,home,partner,93.00,1,0.118,none,2024-07-07
30,1750,LATAM,grocery,online,69.63,5,0.193,coupon,2024-12-03
31,1077,AMER,fashion,online,81.40,2,0.218,coupon,2024-09-23
32,2167,APAC,sports,online,123.29,6,0.233,coupon,2024-09-07
33,1753,APAC,sports,retail,34.94,3,0.239,none,2024-07-12
34,1806,APAC,home,retail,36.39,7,0.114,none,2024-10-11
35,1931,APAC,home,retail,136.24,4,0.149,none,2024-01-05
36,2436,LATAM,grocery,mobile,106.51,6,0.009,none,2024-06-22
37,1289,LATAM,home,online,74.57,2,0.090,loyalty,2024-09-03
38,1277,AMER,home,retail,124.97,4,0.109,none,2024-09-20
39,2291,EMEA,toys,mobile,68.68,7,0.082,loyalty,2024-11-14
40,1809,APAC,fashion,online,73.40,1,0.165,none,2024-03-06
41,1651,LATAM,electronics,retail,111.95,3,0.179,coupon,2024-01-10
42,1991,APAC,grocery,online,64.26,4,0.163,none,2024-11-14
43,1560,AMER,home,retail,111.27,6,0.118,coupon,2024-07-18
44,1226,AMER,grocery,mobile,34.36,5,0.196,bundle,2024-10-07
45,1635,APAC,electronics,retail,69.71,6,0.003,bundle,2024-01-06
46,1448,EMEA,home,online,42.15,1,0.147,none,2024-08-15
47,1202,APAC,electronics,online,57.23,5,0.169,coupon,2024-06-18
48,1383,AMER,sports,online,84.49,4,0.135,none,2024-04-06
49,1811,APAC,electronics,online,20.10,7,0.218,loyalty,2024-02-17
50,1609,LATAM,grocery,retail,54.90,3,0.247,none,2024-11-21
51,1119,LATAM,fashion,mobile,47.08,3,0.026,bundle,2024-01-26
52,1519,APAC,home,online,92.88,5,0.103,coupon,2024-04-23
53,2019,AMER,grocery,online,62.67,6,0.107,coupon,2024-11-04
54,2082,APAC,home,online,35.99,7,0.081,bundle,2024-01-07
55,1418,LATAM,grocery,online,70.87,1,0.144,none,2024-04-28
56,1354,AMER,grocery,online,39.12,8,0.054,none,2024-02-23
57,1901,AMER,grocery,online,26.38,3,0.181,none,2024-02-04
58,1835,AMER,grocery,retail,87.76,4,0.228,bundle,2024-10-02
59,2350,APAC,grocery,partner,82.43,5,0.170,coupon,2024-10-20
60,2000,APAC,electronics,retail,38.83,4,0.039,none,2024-12-08
61,2351,EMEA,grocery,online,51.58,7,0.101,none,2024-01-10
62,1573,AMER,electronics,mobile,40.91,5,0.195,none,2024-08-02
63,2102,APAC,sports,retail,30.94,4,0.146,bundle,2024-07-16
64,1350,LATAM,electronics,online,40.82,4,0.083,none,2024-09-11
65,2264,LATAM,home,mobile,43.29,3,0.149,none,2024-04-26
66,1904,APAC,toys,mobile,37.59,4,0.217,coupon,2024-02-13
67,2119,AMER,grocery,retail,28.50,5,0.051,coupon,2024-06-18
